iter	Passed	Remaining
902	1168	125
903	1169	124
904	1170	122
905	1170	121
906	1171	120
907	1173	118
908	1174	117
909	1175	116
910	1176	114
911	1177	113
912	1178	112
913	1178	110
914	1179	109
915	1180	108
916	1181	106
917	1182	105
918	1183	104
919	1184	102
920	1185	101
921	1186	100
922	1186	99
923	1188	97
924	1189	96
925	1190	95
926	1191	93
927	1192	92
928	1193	91
929	1193	89
930	1194	88
931	1195	87
932	1196	85
933	1197	84
934	1198	83
935	1198	81
936	1199	80
937	1200	79
938	1201	78
939	1203	76
940	1204	75
941	1205	74
942	1206	72
943	1207	71
944	1208	70
945	1209	69
946	1210	67
947	1211	66
948	1212	65
949	1213	63
950	1214	62
951	1215	61
952	1216	59
953	1217	58
954	1218	57
955	1219	56
956	1220	54
957	1221	53
958	1222	52
959	1223	50
960	1224	49
961	1225	48
962	1226	47
963	1227	45
964	1228	44
965	1229	43
966	1230	42
967	1232	40
968	1233	39
969	1234	38
970	1235	36
971	1237	35
972	1238	34
973	1239	33
974	1240	31
975	1241	30
976	1242	29
977	1243	27
978	1244	26
979	1245	25
980	1246	24
981	1248	22
982	1249	21
983	1250	20
984	1251	19
985	1252	17
986	1253	16
987	1254	15
988	1255	13
989	1256	12
990	1257	11
991	1257	10
992	1259	8
993	1260	7
994	1261	6
995	1262	5
996	1263	3
997	1264	2
998	1265	1
999	1266	0
